i,v1,v2lin,v3
723,6,13,1
724,24,1,0
725,12,17,0
726,1,22,1
727,16,13,0
728,1,0,3
729,5,27,0
730,18,15,0
731,13,16,0
732,11,18,0
733,6,17,1
734,15,1,1
735,4,28,0
736,6,24,0
737,14,15,0
738,13,19,0
739,14,21,0
740,17,12,0
741,8,0,2
742,22,10,0
743,3,9,2
744,2,11,2
745,9,22,0
746,0,24,1
747,0,15,2
748,0,4,3
749,1,1,3
750,7,2,2
751,24,2,0
752,3,29,0
753,20,8,0
754,22,3,0
755,6,4,2
756,13,22,0
757,17,17,0
758,8,23,0
759,12,8,1
760,12,6,1
761,16,4,1
762,18,11,0
763,13,7,1
764,2,30,0
765,3,10,2
766,1,13,2
767,1,27,0
768,11,21,0
769,18,16,0
770,14,3,1
771,25,3,0
772,1,2,3
773,14,4,1
774,9,11,1
775,6,15,1
776,25,0,0
777,19,10,0
778,2,21,1
779,7,12,1
780,0,31,0
781,16,0,1
782,5,19,1
783,18,21,0
784,12,9,1
785,16,16,0
786,7,3,2
787,22,5,0
788,14,6,1
789,27,4,0
790,6,18,1
791,8,1,2
792,10,10,1
793,7,24,0
794,13,17,0
795,20,9,0
796,1,23,1
797,2,12,2
798,6,14,1
799,0,16,2
800,14,16,0
801,3,19,1
802,15,2,1
803,1,3,3
804,27,5,0
805,2,22,1
806,6,25,0
807,25,1,0
808,17,13,0
809,6,5,2
810,16,1,1
811,6,26,0
812,18,12,0
813,15,15,0
814,15,5,1
815,20,14,0
816,11,11,1
817,2,0,3
818,1,14,2
819,5,28,0
820,23,3,0
821,17,18,0
822,9,12,1
823,10,22,0
824,21,8,0
825,0,5,3
826,11,13,1
827,13,18,0
828,25,10,0
829,3,11,2
830,4,17,1
831,12,18,0
832,21,9,0
833,8,16,1
834,7,13,1
835,0,25,1
836,14,17,0
837,13,6,1
838,12,10,1
839,13,8,1
840,22,7,0
841,4,29,0
842,3,20,1
843,14,7,1
844,8,2,2
845,2,1,3
846,4,9,2
847,9,0,2
848,1,4,3
849,9,20,0
850,15,3,1
851,16,7,1
852,3,30,0
853,9,15,1
854,10,11,1
855,5,24,0
856,0,6,3
857,26,0,0
858,7,4,2
859,5,6,2
860,0,17,2
861,6,19,1
862,27,8,0
863,26,2,0
864,17,0,1
865,8,12,1
866,18,13,0
867,17,5,1
868,17,16,0
869,8,24,0
870,13,9,1
871,0,26,1
872,26,3,0
873,15,6,1
874,2,2,3
875,22,8,0
876,9,23,0
877,19,11,0
878,5,16,1
879,7,18,1
880,11,10,1
881,2,31,0
882,1,29,0
883,1,15,2
884,26,1,0
885,4,8,2
886,15,16,0
887,1,24,1
888,0,7,3
889,9,24,0
890,16,2,1
891,9,14,1
892,15,18,0
893,7,14,1
894,12,12,1
895,8,6,2
896,6,6,2
897,19,12,0
898,20,10,0
899,16,15,0
900,16,5,1
901,25,5,0
902,9,1,2
903,7,25,0
904,6,24,1
905,8,17,1
906,24,3,0
907,11,27,0
908,2,13,2
909,17,1,1
910,11,22,0
911,2,3,3
912,19,21,0
913,0,32,0
914,11,14,1
915,12,24,0
916,12,13,1
917,2,14,2
918,8,13,1
919,7,16,1
920,8,3,2
921,10,23,0
922,19,17,0
923,3,0,3
924,9,16,1
925,11,25,0
926,14,8,1
927,10,0,2
928,15,7,1
929,16,8,1
930,23,8,0
931,5,7,2
932,10,12,1
933,16,3,1
934,16,23,0
935,18,14,0
936,18,4,1
937,9,2,2
938,10,21,0
939,5,29,0
940,27,0,0
941,13,10,1
942,16,18,0
943,2,23,1
944,1,16,2
945,8,15,1
946,13,12,1
947,21,15,0
948,0,18,2
949,18,0,1
950,7,17,1
951,10,15,1
952,5,8,2
953,24,7,0
954,24,4,0
955,3,1,3
956,16,6,1
957,8,21,0
958,3,21,1
959,18,5,1
960,4,30,0
961,7,19,1
962,14,9,1
963,7,5,2
964,12,20,0
965,2,4,3
966,20,4,1
967,1,5,3
968,10,19,0
969,7,10,2
970,20,12,0
971,25,4,0
972,4,18,1
973,17,2,1
974,11,23,0
975,19,15,0
976,18,1,1
977,6,7,2
978,3,31,0
979,27,1,0
980,14,11,1
981,10,14,1
982,0,8,3
983,1,6,3
984,8,4,2
985,17,15,0
986,3,2,3
987,8,9,2
988,10,24,0
989,27,10,0
990,0,27,1
991,23,13,0
992,19,18,0
993,3,12,2
994,22,14,0
995,1,25,1
996,8,18,1
997,10,1,2
998,20,21,0
999,0,19,2
1000,8,25,0
1001,20,11,0
1002,9,8,2
1003,4,10,2
1004,9,6,2
1005,13,24,0
1006,13,13,1
1007,24,5,0
1008,16,22,0
1009,5,9,2
1010,27,3,0
1011,21,10,0
1012,15,8,1
1013,1,17,2
1014,17,3,1
1015,7,26,0
1016,10,16,1
1017,11,19,0
1018,7,6,2
1019,2,32,0
1020,6,21,1
1021,0,9,3
1022,6,8,2
1023,2,5,3
1024,20,13,0
1025,18,22,0
1026,21,16,0
