i,tau,E
787,inf,1.4621
788,inf,1.46349
789,inf,1.46379
790,inf,1.46478
791,inf,1.46507
792,inf,1.46578
793,inf,1.46587
794,inf,1.46635
795,inf,1.46733
796,inf,1.46762
797,inf,1.46822
798,inf,1.46863
799,inf,1.46864
800,inf,1.47027
801,inf,1.47088
802,inf,1.47203
803,inf,1.47305
804,inf,1.47331
805,inf,1.47336
806,inf,1.47362
807,inf,1.47403
808,inf,1.4741
809,inf,1.47439
810,inf,1.4745
811,inf,1.47514
812,inf,1.47539
813,inf,1.47684
814,inf,1.47703
815,inf,1.4791
816,inf,1.47954
817,inf,1.48011
818,inf,1.48266
819,inf,1.48332
820,inf,1.48334
821,inf,1.48335
822,inf,1.48338
823,inf,1.48373
824,inf,1.48377
825,inf,1.48406
826,inf,1.48602
827,inf,1.48708
828,inf,1.48748
829,inf,1.48823
830,inf,1.48828
831,inf,1.48877
832,inf,1.48916
833,inf,1.48983
834,inf,1.49007
835,inf,1.49037
836,inf,1.49295
837,inf,1.49311
838,inf,1.49342
839,inf,1.49407
840,inf,1.49433
841,inf,1.49492
842,inf,1.49584
843,inf,1.49625
844,inf,1.4966
845,inf,1.49776
846,inf,1.49828
847,inf,1.4986
848,inf,1.49873
849,inf,1.49943
850,inf,1.50169
851,inf,1.50481
852,inf,1.50523
853,inf,1.50542
854,inf,1.5056
855,inf,1.50597
856,inf,1.50622
857,inf,1.50655
858,inf,1.50706
859,inf,1.50864
860,inf,1.50943
861,inf,1.50967
862,inf,1.50982
863,inf,1.51002
864,inf,1.5108
865,inf,1.51107
866,inf,1.51172
867,inf,1.51281
868,inf,1.51324
869,inf,1.51425
870,inf,1.51433
871,inf,1.51495
872,inf,1.51537
873,inf,1.51581
874,inf,1.51586
875,inf,1.5164
876,inf,1.51668
877,inf,1.51782
878,inf,1.51803
879,inf,1.51891
880,inf,1.51924
881,inf,1.5199
882,inf,1.52078
883,inf,1.52089
884,inf,1.52175
885,inf,1.52185
886,inf,1.52234
887,inf,1.52243
888,inf,1.52293
889,inf,1.52325
890,inf,1.52339
891,inf,1.52459
892,inf,1.52494
893,inf,1.52523
894,inf,1.52702
895,inf,1.52714
896,inf,1.52748
897,inf,1.52762
898,inf,1.52776
899,inf,1.52856
900,inf,1.52894
901,inf,1.52923
902,inf,1.53149
903,inf,1.53209
904,inf,1.53316
905,inf,1.5337
906,inf,1.53435
907,inf,1.53454
908,inf,1.53667
909,inf,1.5369
910,inf,1.5375
911,inf,1.5382
912,inf,1.53966
913,inf,1.53988
914,inf,1.54043
915,inf,1.54047
916,inf,1.54083
917,inf,1.54283
918,inf,1.54446
919,inf,1.54459
920,inf,1.54492
921,inf,1.54524
922,inf,1.54529
923,inf,1.54594
924,inf,1.54645
925,inf,1.54647
926,inf,1.54684
927,inf,1.54689
928,inf,1.54844
929,inf,1.54887
930,inf,1.54903
931,inf,1.54931
932,inf,1.54951
933,inf,1.55025
934,inf,1.55063
935,inf,1.55099
936,inf,1.55363
937,inf,1.55366
938,inf,1.55383
939,inf,1.55472
940,inf,1.55523
941,inf,1.55534
942,inf,1.55582
943,inf,1.5574
944,inf,1.55878
945,inf,1.55906
946,inf,1.55939
947,inf,1.5597
948,inf,1.55988
949,inf,1.56056
950,inf,1.56066
951,inf,1.56085
952,inf,1.5617
953,inf,1.56189
954,inf,1.56255
955,inf,1.56265
956,inf,1.56402
957,inf,1.56416
958,inf,1.56454
959,inf,1.56461
960,inf,1.566
961,inf,1.56677
962,inf,1.56686
963,inf,1.5672
964,inf,1.56821
965,inf,1.56868
966,inf,1.56908
967,inf,1.56913
968,inf,1.56949
969,inf,1.57168
970,inf,1.57243
971,inf,1.57353
972,inf,1.57379
973,inf,1.57415
974,inf,1.57492
975,inf,1.57507
976,inf,1.5751
977,inf,1.5754
978,inf,1.57543
979,inf,1.57545
980,inf,1.57814
981,inf,1.57884
982,inf,1.57906
983,inf,1.57965
984,inf,1.57969
985,inf,1.57988
986,inf,1.58032
987,inf,1.5807
988,inf,1.58082
989,inf,1.58159
990,inf,1.58235
991,inf,1.58392
992,inf,1.58456
993,inf,1.58591
994,inf,1.58798
995,inf,1.58842
996,inf,1.58875
997,inf,1.5894
998,inf,1.5898
999,inf,1.5901
1000,inf,1.5903
1001,inf,1.592
1002,inf,1.59226
1003,inf,1.59272
1004,inf,1.59468
1005,inf,1.59501
1006,inf,1.59517
1007,inf,1.59685
1008,inf,1.59718
1009,inf,1.59778
1010,inf,1.59889
1011,inf,1.59924
1012,inf,1.59946
1013,inf,1.59958
1014,inf,1.60073
1015,inf,1.60087
1016,inf,1.60147
1017,inf,1.60209
1018,inf,1.60222
1019,inf,1.60225
1020,inf,1.60225
1021,inf,1.60232
1022,inf,1.60237
1023,inf,1.60256
1024,inf,1.60406
1025,inf,1.60431
1026,inf,1.60528
1027,inf,1.60536
1028,inf,1.60586
